Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
58,0,4,,Anel,27,27,bestSize,61,64,Low,63,Low,66,Low,TRUE,TRUE
59,0,5,,Bebê,46,46,words,Vidro-Gritar-Caixa-Livro-Igreja-Jacaré-Chifre-Estrela-Letra-Travesseiro-Dragão-Terra-Chiclete-Zebra-Pedra-Língua-Tênis-Sapo-Cruz-Jornal-Brinco-Grama-Escrever-Refri-Faca-Magro-Soprar-Trem-Zero-Presente-Ventilador-Dente-Bruxa-Tesoura-Rabo-Caminhão-Galinha-Cachorro-Cabelo-Relógio-Barriga-Espelho-Folha-Sofá-Chapéu-Gato-Nuvem-Plástico-Dado-Bicicleta-Fralda-Cobra-Passarinho-Garfo-Microfone-Biblioteca-Girafa-Nariz-Colher-Floresta-Flor-,Vidro-Gritar-Caixa-Plástico-Livro-Igreja-Jacaré-Prato-Fruta-Microfone-Chifre-Estrela-Biblioteca-Fralda-Letra-Travesseiro-Dragão-Terra-Chiclete-Zebra-Bicicleta-Pedra-Língua-Tênis-Sapo-Cruz-Jornal-Brinco-Grama-Escrever-Refri-Faca-Magro-Soprar-Trem-Cobra-Zero-Presente-Flor-Ventilador-Dente-Floresta-Bruxa-Placa-Tesoura-Rabo-Caminhão-Galinha-Cachorro-Cabelo-Relógio-Barriga-Espelho-Folha-Sofá-Chapéu-Gato-Nuvem-Dado-Passarinho-Garfo-Girafa-Nariz-Colher-,Low,63,Low,66,Low,TRUE,TRUE
60,0,24,,Dedo,30,30,,,,Low,61,Low,64,Low,TRUE,TRUE
61,4,940,,Cama,187,187,,,,Low,61,Low,64,Low,TRUE,TRUE
62,14,108,,Batom,25,25,,,,Low,62,Moderate-Low,64,Moderate-Low,FALSE,FALSE
63,25,19,,Dado,1264,1264,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
64,1027,17,,Navio,200,200,,,,Low,61,Low,64,Low,TRUE,TRUE
65,13,0,,Terra,1294,1294,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
66,34,0,,Tênis,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
68,0,25,,Dente,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
69,0,12,,Rabo,1289,1289,,,,Moderate-Low,72,Moderate-Low,76,Moderate-Low,TRUE,TRUE
70,0,3,,Faca,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
71,0,20,,Caminhão,1288,1288,,,,Low,61,Low,64,Low,TRUE,TRUE
72,0,76,,Fogo,200,200,,,,Low,61,Low,64,Low,TRUE,TRUE
73,3,16,,Sapo,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
74,36,9,,Sapato,48,48,,,,Low,61,Low,64,Low,TRUE,TRUE
75,20,12,,Cabelo,1284,1284,,,,Low,61,Low,64,Low,TRUE,TRUE
76,84,4,,Vaca,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
77,11,0,,Lápis,200,200,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
78,7,0,,Galinha,1285,1285,,,,Low,61,Low,64,Low,TRUE,TRUE
79,12,0,,Mesa,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
80,4,0,,Gato,1271,1271,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Cavalo,168,168,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Bolsa,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Casa,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Sofá,1271,1271,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Barriga,1281,1281,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Calça,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Folha,1272,1272,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Chapéu,1271,1271,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Pastel,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Coelho,200,200,,,,Moderate-Low,69,Moderate-Low,74,Moderate-Low,TRUE,TRUE
,,,,Língua,1294,1294,,,,Low,68,Low,74,Low,TRUE,TRUE
,,,,Chinelo,177,177,,,,Low,62,Low,65,Low,TRUE,TRUE
,,,,Beijo,235,235,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Caixa,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Cachorro,1284,1284,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Espelho,1278,1278,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Nuvem,1271,1271,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Relógio,1283,1283,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Porta,177,177,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Ventilador,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Zero,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Passarinho,1235,1235,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Tesoura,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Nariz,1117,1117,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Jornal,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Garfo,1222,1222,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Jacaré,1294,1294,,,,Low,61,Moderate-Low,64,Moderate-Low,FALSE,FALSE
,,,,Girafa,1137,1137,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Brinco,1294,1294,,,,Moderate-Low,72,Moderate-Low,76,Moderate-Low,TRUE,TRUE
,,,,Prato,273,1294,,,,Moderate-Low,72,Moderate-Low,76,Moderate-Low,TRUE,TRUE
,,,,Cobra,1255,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Zebra,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Grama,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Cruz,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Trem,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Soprar,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Placa,273,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Fruta,273,1294,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Fralda,1255,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Refri,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Presente,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Livro,1294,1294,,,,Moderate-Low,71,Moderate-Low,75,Moderate-Low,TRUE,TRUE
,,,,Chiclete,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Chifre,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Bicicleta,1263,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Gritar,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Bruxa,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Letra,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Plástico,1265,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Igreja,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Flor,1021,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Escrever,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Dragão,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Magro,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Estrela,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Pedra,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Vidro,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Microfone,1166,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Colher,1117,1117,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Floresta,1050,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Biblioteca,1164,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,Travesseiro,1294,1294,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,68,Moderate-Low,73,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,71,Moderate-Low,75,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,73,Moderate-Low,77,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,62,Moderate-Low,64,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,73,Moderate-Low,77,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,72,Low,76,Moderate-Low,FALSE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,62,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,71,Moderate-Low,75,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,68,Low,74,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,75,Moderate-Low,79,High,FALSE,FALSE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,72,Moderate-Low,76,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,59,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,68,Low,74,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Low,64,Low,TRUE,TRUE
,,,,,,,,,,Low,62,Low,64,Low,TRUE,TRUE
