Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
6,402,402,,Anel,5,5,bestSize,7,7,Low,7,Low,7,Low,TRUE,TRUE
7,892,892,,Bebê,10,10,words,Ventilador-Presente-Escrever-Vidro-Floresta-Biblioteca-Travesseiro-,Ventilador-Presente-Escrever-Vidro-Floresta-Biblioteca-Travesseiro-,Low,7,Low,7,Low,TRUE,TRUE
,,,,Dedo,5,5,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Cama,4,4,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Batom,13,13,,,,Low,6,Moderate-Low,6,Moderate-Low,FALSE,FALSE
,,,,Dado,3,3,,,,Moderate-Low,6,Low,6,Low,FALSE,FALSE
,,,,Navio,3,3,,,,Low,7,Moderate-Low,7,Moderate-Low,FALSE,FALSE
,,,,Terra,0,0,,,,Moderate-Low,7,Low,7,Low,FALSE,FALSE
,,,,Tênis,0,0,,,,Low,6,Moderate-Low,6,Moderate-Low,FALSE,FALSE
,,,,Dente,25,25,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Rabo,2,2,,,,Moderate-Low,7,Low,7,Low,FALSE,FALSE
,,,,Faca,7,7,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Caminhão,5,5,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Fogo,5,5,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Sapo,12,12,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Sapato,1,1,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Cabelo,1,1,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Vaca,5,5,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Lápis,4,4,,,,Moderate-Low,7,Moderate-Low,7,Moderate-Low,TRUE,TRUE
,,,,Galinha,2,2,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Mesa,177,177,,,,Low,7,Low,7,Low,TRUE,TRUE
