Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
55,0,11,,Anel,12,12,bestSize,57,62,Low,58,Low,63,Low,TRUE,TRUE
56,0,9,,Bebê,34,34,words,Vidro-Gritar-Nariz-Girafa-Sofá-Plástico-Colher-Livro-Garfo-Igreja-Microfone-Chifre-Estrela-Biblioteca-Fralda-Letra-Travesseiro-Dragão-Terra-Chiclete-Zebra-Pedra-Dado-Língua-Tênis-Cachorro-Folha-Cruz-Jornal-Brinco-Grama-Escrever-Refri-Magro-Soprar-Cabelo-Trem-Zero-Presente-Ventilador-Dente-Bruxa-Tesoura-Passarinho-Relógio-Galinha-Caminhão-Rabo-Fogo-Barriga-Nuvem-Chapéu-Sapato-Espelho-Floresta-Gato-Bicicleta-,Vidro-Gritar-Nariz-Girafa-Sofá-Plástico-Colher-Livro-Garfo-Igreja-Prato-Fruta-Microfone-Chifre-Estrela-Biblioteca-Fralda-Letra-Travesseiro-Dragão-Terra-Chiclete-Zebra-Bicicleta-Pedra-Dado-Língua-Tênis-Cachorro-Folha-Cruz-Jornal-Brinco-Grama-Escrever-Refri-Magro-Soprar-Cabelo-Trem-Cobra-Zero-Presente-Flor-Ventilador-Dente-Floresta-Bruxa-Placa-Tesoura-Passarinho-Relógio-Galinha-Caminhão-Rabo-Fogo-Barriga-Nuvem-Chapéu-Sapato-Espelho-Gato-,Low,58,Low,63,Low,TRUE,TRUE
57,0,937,,Dedo,0,0,,,,Low,57,Low,62,Low,TRUE,TRUE
58,0,38,,Cama,28,28,,,,Low,57,Low,62,Low,TRUE,TRUE
59,0,22,,Batom,25,25,,,,Low,60,Moderate-Low,62,Moderate-Low,FALSE,FALSE
60,24,52,,Dado,1294,1294,,,,Moderate-Low,61,Moderate-Low,63,Moderate-Low,TRUE,TRUE
61,16,47,,Navio,25,25,,,,Low,57,Low,62,Low,TRUE,TRUE
62,995,119,,Terra,1294,1294,,,,Moderate-Low,61,Moderate-Low,63,Moderate-Low,TRUE,TRUE
63,78,29,,Tênis,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
64,4,30,,Dente,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
67,3,0,,Rabo,1273,1273,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
68,115,0,,Faca,48,48,,,,Low,57,Low,62,Low,TRUE,TRUE
69,29,0,,Caminhão,1274,1274,,,,Low,57,Low,62,Low,TRUE,TRUE
70,30,0,,Fogo,1271,1271,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Sapo,48,48,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Sapato,1258,1258,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Cabelo,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Vaca,5,5,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Lápis,25,25,,,,Moderate-Low,60,Moderate-Low,62,Moderate-Low,TRUE,TRUE
,,,,Galinha,1285,1285,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Mesa,177,177,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Gato,1125,1125,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Cavalo,39,39,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Bolsa,20,20,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Casa,0,0,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Sofá,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Barriga,1269,1269,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Calça,132,132,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Folha,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Chapéu,1262,1262,,,,Moderate-Low,59,Moderate-Low,61,Moderate-Low,TRUE,TRUE
,,,,Pastel,177,177,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Coelho,68,68,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,Língua,1294,1294,,,,Low,62,Low,68,Low,TRUE,TRUE
,,,,Chinelo,161,161,,,,Low,58,Low,63,Low,TRUE,TRUE
,,,,Beijo,52,52,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Caixa,298,298,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Cachorro,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Espelho,1237,1237,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Nuvem,1269,1269,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Relógio,1286,1286,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Porta,177,177,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Ventilador,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Zero,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Passarinho,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Tesoura,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Nariz,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Jornal,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Garfo,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Jacaré,44,44,,,,Low,57,Moderate-Low,62,Moderate-Low,FALSE,FALSE
,,,,Girafa,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Brinco,1294,1294,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,Prato,135,1294,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,Cobra,132,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Zebra,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Grama,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Cruz,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Trem,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Soprar,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Placa,135,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Fruta,135,1294,,,,Moderate-Low,60,Moderate-Low,63,Moderate-Low,TRUE,TRUE
,,,,Fralda,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Refri,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Presente,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Livro,1294,1294,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,Chiclete,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Chifre,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Bicicleta,1096,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Gritar,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Bruxa,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Letra,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Plástico,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Igreja,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Flor,0,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Escrever,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Dragão,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Magro,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Estrela,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Pedra,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Vidro,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Microfone,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Colher,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Floresta,1159,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Biblioteca,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,Travesseiro,1294,1294,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-High,TRUE,FALSE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,61,Moderate-Low,63,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,61,Moderate-Low,63,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,60,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,62,Low,68,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,59,Moderate-Low,63,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,62,Moderate-High,68,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,61,Moderate-Low,63,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,62,Moderate-Low,68,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,55,Low,60,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,60,Moderate-Low,62,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,57,Low,62,Low,TRUE,TRUE
