Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
11,132,132,,Anel,5,5,bestSize,13,13,Low,13,Low,13,Low,TRUE,TRUE
12,1,1,,Bebê,10,10,words,Vidro-Plástico-Colher-Estrela-Fralda-Presente-Ventilador-Microfone-Travesseiro-Floresta-Biblioteca-Escrever-Bicicleta-,Vidro-Plástico-Colher-Estrela-Fralda-Presente-Ventilador-Microfone-Travesseiro-Floresta-Biblioteca-Escrever-Bicicleta-,Low,13,Low,13,Low,TRUE,TRUE
13,724,724,,Dedo,0,0,,,,Low,13,Low,13,Low,TRUE,TRUE
14,11,11,,Cama,4,4,,,,Low,17,Low,18,Low,TRUE,TRUE
15,110,110,,Batom,13,13,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
16,8,8,,Dado,25,25,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
17,63,79,,Navio,3,3,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
18,47,31,,Terra,0,0,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
19,55,55,,Tênis,0,0,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
20,18,18,,Dente,25,25,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
21,52,52,,Rabo,3,3,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
22,22,22,,Faca,7,7,,,,Low,13,Low,13,Low,TRUE,TRUE
23,51,51,,Caminhão,15,15,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Fogo,25,25,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Sapo,12,12,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Sapato,40,40,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Cabelo,13,13,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,Vaca,5,5,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Lápis,4,4,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,Galinha,48,48,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Mesa,177,177,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,Gato,1,1,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Cavalo,11,11,,,,Low,13,Low,13,Low,TRUE,TRUE
