qtd-WordsRequired,frequency-split,frequency-no-split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
64,1,0,,Anel,1,1,bestSize,64,69,Low,64,Low,69,Low,TRUE,TRUE
69,0,1,,Bebê,1,1,words,Vidro-Gritar-Girafa-Caixa-Cama-Navio-Sofá-Plástico-Galinha-Colher-Livro-Garfo-Barriga-Igreja-Jacaré-Mesa-Microfone-Chifre-Anel-Estrela-Fogo-Biblioteca-Letra-Sapato-Travesseiro-Dragão-Terra-Chiclete-Vaca-Zebra-Bicicleta-Dado-Pedra-Tênis-Pastel-Língua-Sapo-Dedo-Folha-Gato-Cruz-Jornal-Nuvem-Brinco-Grama-Escrever-Faca-Refri-Magro-Soprar-Cabelo-Trem-Zero-Caminhão-Flor-Presente-Ventilador-Dente-Lápis-Bebê-Floresta-Bruxa-Rabo-Beijo-,Vidro-Gritar-Girafa-Caixa-Cama-Navio-Sofá-Plástico-Galinha-Colher-Livro-Garfo-Barriga-Igreja-Jacaré-Mesa-Fruta-Prato-Microfone-Chifre-Anel-Estrela-Fogo-Biblioteca-Fralda-Letra-Sapato-Travesseiro-Dragão-Terra-Chiclete-Vaca-Zebra-Bicicleta-Dado-Pedra-Tênis-Pastel-Língua-Sapo-Dedo-Folha-Gato-Cruz-Jornal-Nuvem-Brinco-Grama-Escrever-Faca-Refri-Magro-Soprar-Cabelo-Trem-Cobra-Zero-Caminhão-Flor-Presente-Ventilador-Dente-Lápis-Bebê-Floresta-Bruxa-Rabo-Placa-Beijo-,Low,64,Low,69,Low,TRUE,TRUE
,,,,Dedo,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Cama,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Batom,0,0,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Dado,1,1,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,Navio,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Terra,1,1,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,Tênis,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Dente,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Rabo,1,1,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,Faca,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Caminhão,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Fogo,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Sapo,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
