Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
76,0,1,,Anel,1,1,bestSize,76,81,Low,76,Low,81,Low,TRUE,TRUE
81,1,0,,Bebê,1,1,words,Vidro-Gritar-Caixa-Relógio-Cama-Cavalo-Navio-Sofá-Galinha-Plástico-Livro-Garfo-Barriga-Igreja-Chapéu-Jacaré-Mesa-Prato-Fruta-Chifre-Anel-Estrela-Fogo-Fralda-Letra-Sapato-Dragão-Travesseiro-Terra-Chiclete-Vaca-Zebra-Bicicleta-Dado-Pedra-Tênis-Pastel-Língua-Sapo-Chinelo-Cachorro-Dedo-Folha-Casa-Gato-Jornal-Cruz-Calça-Nuvem-Brinco-Grama-Faca-Refri-Coelho-Magro-Batom-Soprar-Cabelo-Cobra-Trem-Zero-Caminhão-Flor-Ventilador-Dente-Lápis-Bebê-Espelho-Bruxa-Rabo-Beijo-Tesoura-Placa-Bolsa-Porta-Passarinho-,Vidro-Gritar-Caixa-Relógio-Cama-Cavalo-Navio-Sofá-Galinha-Plástico-Livro-Garfo-Barriga-Igreja-Chapéu-Jacaré-Mesa-Prato-Fruta-Chifre-Microfone-Anel-Estrela-Fogo-Biblioteca-Fralda-Letra-Sapato-Dragão-Travesseiro-Terra-Chiclete-Vaca-Zebra-Bicicleta-Dado-Pedra-Tênis-Pastel-Língua-Sapo-Chinelo-Cachorro-Dedo-Folha-Casa-Gato-Jornal-Cruz-Calça-Nuvem-Brinco-Grama-Faca-Refri-Escrever-Coelho-Magro-Batom-Soprar-Cabelo-Cobra-Trem-Zero-Caminhão-Presente-Flor-Ventilador-Dente-Lápis-Bebê-Espelho-Floresta-Bruxa-Rabo-Beijo-Tesoura-Placa-Bolsa-Porta-Passarinho-,Low,76,Low,81,Low,TRUE,TRUE
,,,,Dedo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Cama,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Batom,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Dado,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Navio,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Terra,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Tênis,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Dente,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Rabo,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Faca,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Caminhão,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Fogo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Sapo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Sapato,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Cabelo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Vaca,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Lápis,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Galinha,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Mesa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Gato,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Cavalo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Bolsa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Casa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Sofá,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Barriga,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Calça,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Folha,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Chapéu,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Pastel,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Coelho,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Língua,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Chinelo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Beijo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Caixa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Cachorro,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Espelho,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Nuvem,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Relógio,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Porta,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Ventilador,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Zero,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Passarinho,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Tesoura,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Nariz,0,0,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Jornal,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Garfo,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Jacaré,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Girafa,0,0,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Brinco,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Prato,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Cobra,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Zebra,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Grama,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Cruz,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Trem,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Soprar,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Placa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Fruta,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Fralda,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Refri,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Presente,0,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Livro,1,1,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,Chiclete,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Chifre,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Bicicleta,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Gritar,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Bruxa,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Letra,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Plástico,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Igreja,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Flor,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Escrever,0,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Dragão,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Magro,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Estrela,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Pedra,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Vidro,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Microfone,0,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Colher,0,0,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Floresta,0,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Biblioteca,0,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,Travesseiro,1,1,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,76,Moderate-Low,81,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
,,,,,,,,,,Low,76,Low,81,Low,TRUE,TRUE
