qtd-WordsRequired,frequency-split,frequency-no-split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
60,1,0,,Anel,0,0,bestSize,60,64,Low,60,Low,64,Low,TRUE,TRUE
64,0,1,,Bebê,0,0,words,Vidro-Gritar-Nariz-Girafa-Relógio-Sofá-Plástico-Galinha-Colher-Livro-Garfo-Barriga-Igreja-Chapéu-Jacaré-Microfone-Chifre-Estrela-Fogo-Biblioteca-Letra-Sapato-Travesseiro-Dragão-Terra-Chiclete-Zebra-Bicicleta-Pedra-Dado-Língua-Tênis-Cachorro-Folha-Cruz-Jornal-Gato-Nuvem-Brinco-Grama-Escrever-Refri-Magro-Soprar-Cabelo-Trem-Cobra-Zero-Caminhão-Flor-Presente-Ventilador-Lápis-Dente-Espelho-Floresta-Bruxa-Tesoura-Rabo-Passarinho-,Vidro-Gritar-Nariz-Girafa-Relógio-Sofá-Plástico-Galinha-Colher-Livro-Garfo-Barriga-Igreja-Chapéu-Jacaré-Fruta-Prato-Microfone-Chifre-Estrela-Fogo-Biblioteca-Fralda-Letra-Sapato-Travesseiro-Dragão-Terra-Chiclete-Zebra-Bicicleta-Pedra-Dado-Língua-Tênis-Cachorro-Folha-Cruz-Jornal-Gato-Nuvem-Brinco-Grama-Escrever-Refri-Magro-Soprar-Cabelo-Trem-Cobra-Zero-Caminhão-Flor-Presente-Ventilador-Lápis-Dente-Espelho-Floresta-Bruxa-Placa-Tesoura-Rabo-Passarinho-,Low,60,Low,64,Low,TRUE,TRUE
,,,,Dedo,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Cama,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Batom,0,0,,,,Low,60,Low,64,Moderate-Low,TRUE,FALSE
,,,,Dado,1,1,,,,Moderate-Low,60,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Navio,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Terra,1,1,,,,Moderate-Low,60,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Tênis,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Dente,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Rabo,1,1,,,,Moderate-Low,60,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Faca,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Caminhão,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Fogo,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Sapo,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Sapato,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Cabelo,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Vaca,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Lápis,1,1,,,,Moderate-Low,60,Moderate-Low,64,Moderate-Low,TRUE,TRUE
,,,,Galinha,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Mesa,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Gato,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Cavalo,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Bolsa,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Casa,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Sofá,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Barriga,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Calça,0,0,,,,Low,60,Low,64,Low,TRUE,TRUE
,,,,Folha,1,1,,,,Low,60,Low,64,Low,TRUE,TRUE
